 ,Area,Mean,StdDev,Min,Max,Angle,Length
1,0.070,42713.772,7515.102,17129.000,54874.000,-36.870,2.360
2,0.022,44542.634,4741.989,36646.145,55378.891,-24.444,0.713
3,0.048,38614.774,5982.005,23793.924,53548.965,-21.801,1.589
4,0.023,46547.250,5534.970,30519.000,54344.531,-57.529,0.769
5,0.033,34441.534,7116.878,19200.000,48708.109,22.380,1.085
6,0.056,46472.692,6228.366,28690.012,57087.531,-82.648,1.844
7,0.044,40724.553,6257.476,27325.520,53587.312,-61.390,1.479
8,0.065,40805.432,5122.137,26743.023,53872.414,-71.075,2.183
9,0.052,39268.502,5501.272,20009.000,51407.172,-57.381,1.751
10,0.037,45161.030,4827.600,29298.635,54844.379,-60.945,1.215
11,0.114,45420.623,6631.279,22515.254,65535.000,-67.380,3.835
12,0.038,42774.576,5273.735,29828.127,50619.957,-48.814,1.254
13,0.032,42948.914,6789.519,25229.062,52880.777,-26.565,1.055
14,0.053,44118.722,4930.018,33166.559,57131.238,-36.870,1.770
15,0.087,41380.892,4957.952,31418.514,54159.047,-55.670,2.929
16,0.076,40311.208,6031.628,21171.000,52338.410,-52.595,2.525
17,0.021,40222.918,5643.575,26578.000,50771.594,-70.017,0.691
18,0.040,36473.124,6040.713,25466.000,46283.594,-63.435,1.319
19,0.025,40741.843,4847.828,31226.715,49460.145,-81.870,0.834
20,0.017,38596.138,4978.980,26729.000,46358.633,-71.565,0.560
21,0.036,38668.608,4931.375,30034.324,53149.500,-63.435,1.187
22,0.137,43212.913,10094.910,0.000,61301.207,-46.548,4.633
23,0.110,45450.243,5307.114,31974.719,59013.859,-60.141,3.674
24,0.055,41643.008,6895.803,29517.420,56189.852,-146.821,1.833
25,0.066,50944.561,5001.842,30216.000,59805.953,-28.610,2.218
26,0.029,43430.525,6247.559,28987.625,54791.875,-93.576,0.946
27,0.037,41381.864,5692.688,23596.715,53596.000,-8.130,1.252
28,0.033,44471.133,6766.335,31631.000,57122.176,-67.620,1.085
29,0.039,44954.356,5394.725,32739.740,54735.039,35.838,1.310
30,0.032,43248.311,6573.379,28805.703,53369.035,-70.560,1.064
31,0.020,38905.190,3588.009,32292.273,45613.363,-84.806,0.652
32,0.023,39857.809,11553.926,1515.000,51247.691,94.399,0.769
33,0.015,48010.143,6991.077,30468.000,54886.375,129.806,0.461
34,0.011,39752.109,6097.256,29592.334,50175.000,120.964,0.344
35,0.117,33473.874,11893.135,0.000,60718.594,-20.056,3.957
36,0.069,41719.573,6438.587,26562.061,56626.922,-70.641,2.314
37,0.059,40809.463,9179.718,21373.000,57783.977,-78.024,1.990
38,0.040,42528.042,3500.382,35774.199,49372.727,77.196,1.331
39,0.065,41972.170,4972.313,31524.717,56264.266,-23.806,2.193
40,0.044,37956.407,5618.236,26275.000,50146.199,145.008,1.440
41,0.068,38670.784,5000.561,26170.035,48798.816,-79.563,2.280
42,0.064,39784.213,5047.594,28812.445,51109.500,86.820,2.127
43,0.083,32283.716,10426.655,0.000,50579.000,90.000,2.773
44,0.075,29839.132,8690.559,1540.358,49215.000,113.552,2.510
45,0.065,35671.063,7514.083,17964.422,56390.000,120.700,2.196
46,0.100,38079.706,4895.317,24503.182,50346.730,-50.711,3.354
47,0.074,29488.837,12427.614,0.000,52983.422,115.346,2.481
48,0.032,41590.578,6306.679,30085.297,54924.332,128.157,1.050
49,0.012,41053.578,6399.337,30064.000,52704.805,38.660,0.378
50,0.030,37130.332,6038.250,24177.189,48112.219,154.983,0.977
51,0.028,34961.320,5916.734,22687.000,46146.375,121.608,0.901
52,0.030,41935.152,4857.978,33208.770,55823.977,100.620,0.960
53,0.036,39898.854,6799.961,26173.000,51337.000,180.000,1.180
54,0.059,39430.508,4724.998,28852.000,51730.465,147.265,1.964
55,0.031,37301.522,6307.331,22889.000,48359.492,132.709,1.044
56,0.116,33364.732,7677.227,14050.272,48829.184,59.931,3.886
57,0.063,34058.443,6812.384,14614.687,44698.273,51.843,2.101
58,0.070,41342.471,5359.737,30051.639,53505.266,113.962,2.324
59,0.058,32319.874,8204.670,11609.889,49961.566,70.463,1.941
60,0.021,31537.342,3905.731,22391.352,37996.375,135.000,0.668
61,0.025,43293.588,5041.710,28649.000,51141.980,135.000,0.834
62,0.060,37971.553,5316.518,26172.090,51566.812,52.125,2.018
63,0.055,24401.175,20203.882,0.000,51368.898,123.179,1.833
64,0.035,42392.661,5104.073,32879.965,53951.277,104.744,1.159
65,0.047,41780.885,4370.513,31466.994,49038.574,114.624,1.558
66,0.048,42136.607,4009.044,32177.012,51185.000,131.987,1.588
67,0.094,26468.423,10999.379,1156.826,48660.883,116.565,3.166
68,0.038,35394.327,5644.632,19529.305,45176.871,117.759,1.267
69,0.054,22549.278,15873.178,0.000,53564.551,136.332,1.794
70,0.034,47178.399,5061.291,38354.867,59810.191,122.005,1.113
71,0.027,43437.622,4995.640,33551.000,52594.445,109.654,0.877
72,0.018,44061.810,3649.448,37681.500,50623.090,135.000,0.584
73,0.066,41821.197,7485.495,19857.000,58772.320,111.801,2.224
74,0.021,46396.472,2993.913,41585.746,53198.680,127.875,0.673
75,0.018,41309.095,4584.113,32216.600,48881.199,101.310,0.602
76,0.039,36368.778,8705.006,20829.959,60025.918,125.838,1.310
77,0.066,41925.887,5787.398,29306.000,58298.789,118.610,2.218
78,0.047,35104.737,5433.904,23430.557,44293.566,171.254,1.552
79,0.062,35201.669,6300.039,20915.955,46690.121,103.241,2.061
80,0.064,39038.999,5183.385,25904.568,51138.340,119.358,2.166
81,0.126,20661.545,15161.376,0.000,51448.559,113.720,4.253
82,0.077,44051.073,5317.948,32577.436,55033.332,99.246,2.570
83,0.107,38330.104,6378.723,21040.893,51239.859,105.173,3.607
84,0.078,39690.949,5766.082,23560.426,55391.758,99.039,2.629
85,0.047,40729.578,7925.334,18310.990,56477.766,119.476,1.559
86,0.086,46354.424,5195.225,33058.938,59320.387,87.663,2.893
87,0.035,51476.310,6559.857,34208.000,64394.137,75.256,1.159
88,0.069,36206.690,6509.349,20346.846,47632.848,138.122,2.298
89,0.039,41417.981,6693.369,26829.422,53257.125,133.152,1.294
90,0.062,38550.810,5076.640,29148.723,54307.801,124.592,2.078
91,0.043,39318.503,9886.954,2.969E-8,61897.000,65.556,1.426
92,0.077,46997.981,5456.124,33502.191,57828.184,143.393,2.572
93,0.046,41771.408,6243.861,26484.309,54115.770,94.399,1.539
94,0.086,28652.820,14447.494,2948.274,57956.000,34.992,2.881
95,0.076,34961.687,7121.825,13101.854,51328.184,120.735,2.540
96,0.064,40461.887,10583.606,22934.373,59113.176,119.358,2.166
97,0.064,40461.887,10583.606,22934.373,59113.176,119.358,2.166
98,0.131,41876.564,6749.451,20726.674,57084.910,115.201,4.434
99,0.027,42447.090,7031.963,27285.000,53442.332,97.595,0.893
100,0.037,40408.515,6546.395,27891.000,54448.145,81.870,1.252
101,0.034,45704.656,5356.663,34502.969,58581.168,-47.121,1.127
102,0.028,46842.622,5627.718,30782.033,57245.957,39.806,0.922
103,0.052,47899.554,4745.966,39463.000,56932.195,99.782,1.736
104,0.029,48904.274,9340.263,33578.340,63546.809,161.565,0.933
105,0.121,40311.010,6546.864,24198.789,55818.383,100.008,4.074
106,0.090,44510.128,10381.364,280.221,59788.812,136.591,3.005
107,0.057,44895.708,4897.203,31777.283,54186.242,106.189,1.905
108,0.048,44161.716,4647.810,27993.000,52008.789,121.329,1.589
109,0.037,43007.609,4497.847,33854.000,53880.000,125.218,1.228
110,0.070,29163.814,15723.742,15.150,52699.812,112.068,2.356
111,0.042,42063.964,5880.622,29282.723,53609.359,115.463,1.372
112,0.031,45210.471,7516.285,29221.818,54248.898,137.291,1.044
113,0.043,45562.330,5472.196,30721.000,55189.750,123.024,1.407
114,0.023,36273.250,9225.175,21239.951,52095.000,75.964,0.730
115,0.035,35364.143,9608.505,7373.369,47560.738,101.889,1.146
116,0.057,40219.000,9635.609,20161.000,64222.000,0.000,1.888
117,0.067,41704.654,7628.006,17626.525,57861.449,94.514,2.249
118,0.081,31794.459,13596.675,377.193,51627.062,145.620,2.717
119,0.048,43315.323,6237.426,29955.127,56413.555,164.932,1.589
120,0.057,40892.980,6099.963,28665.977,51837.062,117.350,1.926
121,0.038,46588.042,6406.696,30636.832,56153.570,123.690,1.276
122,0.090,42464.128,5350.305,27980.158,55908.410,118.072,3.009
123,0.076,35904.278,5539.070,21570.793,46516.641,24.775,2.534
124,0.063,42406.731,12830.680,0.000,59091.348,-47.291,2.088
125,0.064,45261.927,5863.506,25115.186,55054.965,46.123,2.128
126,0.038,49225.936,4828.980,38856.000,57438.375,76.608,1.274
127,0.034,45385.625,4546.033,34407.051,57655.527,86.987,1.123
128,0.015,41579.265,5927.385,28971.750,50434.000,97.125,0.476
129,0.054,37457.677,4573.882,28500.646,48656.523,109.026,1.810
130,0.053,38351.906,9438.600,14766.584,53900.172,129.560,1.760
131,0.067,42677.494,7896.911,21525.000,57400.000,0.000,2.242
132,0.050,39765.150,5105.828,29939.127,50068.570,-27.474,1.663
133,0.013,33658.333,5945.941,24455.000,43656.000,0.000,0.413
134,0.026,35971.770,5434.038,22940.000,45247.594,102.095,0.845
135,0.018,33585.352,9287.770,18008.000,47274.398,-174.289,0.593
